title,platform,fix_date,developer,genre,user_score,category
"After Burner Climax",PS3,22-04-2010,"Sega AM2","Simulation, Flight, Modern Jet, Modern Jet, Combat",3.5,Bad
"Aliens: Colonial Marines",PC,11-02-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",3.6,Bad
"Aliens: Colonial Marines",PS3,12-02-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",3.7,Bad
"Aliens: Colonial Marines",X360,12-02-2013,"Gearbox Software","Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",3.9,Bad
"Company of Heroes 2",PC,25-06-2013,"Relic,  Relic Entertainment","Strategy, Real-Time, Historic, General, Historic",2.2,Bad
"Football Manager Live",PC,23-01-2009,"Sports Interactive","Sports, Traditional, Team, Soccer, Management, Management",3.1,Bad
"Iron Man",PC,06-05-2008,"Artificial Mind and Movement","Action, Action Adventure, General, General",2.7,Bad
"Jet Set Radio",iOS,29-11-2012,Sega,"Action, General, Platformer, 3D",3.5,Bad
"Phantasy Star Online 2: New Genesis",PC,09-06-2021,Sega,"Role-Playing, Massively Multiplayer",2.9,Bad
"Puyo Puyo Champions",PS4,07-05-2019,Sega,"Puzzle, Matching",3.6,Bad
"Sega Bass Fishing",X360,05-10-2011,SIMS,"Sports, Individual, Nature, Fishing, Fishing",3.4,Bad
SolSeraph,PS4,10-07-2019,"ACE Team","Action Adventure, General",4,Bad
"Sonic Boom: Rise of Lyric",WIIU,11-11-2014,"Big Red Button Entertainment","General, Action, Platformer, 3D",3.6,Bad
"Sonic Free Riders",X360,04-11-2010,"Sega,  Sonic Team","Sports, Racing, Alternative, Arcade, Individual, Other, Other, Automobile",2.6,Bad
"Sonic the Hedgehog Genesis",GBA,14-11-2006,"Sonic Team","Action, Platformer, 2D",2.4,Bad
"Super Monkey Ball: Banana Blitz HD",PC,10-12-2019,"Sega,  Ryu ga Gotoku Studios","Miscellaneous, Party / Minigame",4,Bad
"The Golden Compass",PC,14-12-2007,"Shiny Entertainment","Action Adventure, Fantasy, General, Fantasy",3,Bad
