title,platform,fix_date,developer,genre,user_score,meta_score,esrb_rating,link
"Persona 4 Golden",XONE,19-01-2023,Atlus,"Role-Playing, Japanese-Style",9.4,38,M,/game/xbox-one/persona-4-golden
"Like a Dragon: Ishin!",XONE,18-02-2023,"Ryu ga Gotoku Studios","Action Adventure, Open-World",8.9,38,M,/game/xbox-one/like-a-dragon-ishin!
"Persona 4 Golden",PS4,19-01-2023,Atlus,"Role-Playing, Japanese-Style",8.8,86,M,/game/playstation-4/persona-4-golden
"Sonic Origins Plus",PS4,23-06-2023,Sega,"Miscellaneous, Compilation",8.8,38,E,/game/playstation-4/sonic-origins-plus
"Like a Dragon: Ishin!",PS4,21-02-2023,"Ryu ga Gotoku Studios","Action Adventure, Open-World",8.7,80,M,/game/playstation-4/like-a-dragon-ishin!
"Bayonetta Origins: Cereza and the Lost Demon",Switch,17-03-2023,PlatinumGames,"Action Adventure, Linear",8.6,81,T,/game/switch/bayonetta-origins-cereza-and-the-lost-demon
"Persona 4 Golden",Switch,19-01-2023,Atlus,"Role-Playing, Japanese-Style",8.6,90,M,/game/switch/persona-4-golden
"The Murder of Sonic the Hedgehog",PC,31-03-2023,Sega,"Adventure, Visual Novel",8.6,82,E,/game/pc/the-murder-of-sonic-the-hedgehog
"Like a Dragon: Ishin!",PC,21-02-2023,"Ryu ga Gotoku Studios","Action Adventure, Open-World",7.9,80,M,/game/pc/like-a-dragon-ishin!
"Etrian Odyssey Origins Collection",Switch,01-06-2023,Atlus,"Miscellaneous, Compilation",7.3,77,T,/game/switch/etrian-odyssey-origins-collection
