title,user_score
"Sonic Frontiers",8.1
Judgment,8.1
"Shin Megami Tensei III: Nocturne HD Remaster",8.1
"Yakuza: Like a Dragon",8.1
"Sega Ages: Phantasy Star",8.1
"Valkyria Chronicles",8.1
"Valkyria Chronicles 4",8.1
"Sega Ages: Sonic the Hedgehog",8.1
"Shining Resonance Refrain",8.1
"Puyo Puyo Tetris",8.1
Bayonetta,8.1
Heroki,8.1
"3D Out Run",8.1
"Hatsune Miku: Project Diva f",8.1
"3D Sonic the Hedgehog",8.1
"Anarchy Reigns",8.1
"Sonic Adventure 2",8.1
"Sonic & All-Stars Racing Transformed",8.1
"Sonic Adventure 2",8.1
"Rhythm Thief & the Emperor's Treasure",8.1
"Binary Domain",8.1
"Daytona USA",8.1
"Aliens: Infestation",8.1
"Yakuza 4",8.1
"Sonic Colors",8.1
"Sonic Colors",8.1
"Phantasy Star Portable 2",8.1
"Golden Axe",8.1
"Sonic & Sega All-Stars Racing",8.1
"Sonic & Sega All-Stars Racing",8.1
Bayonetta,8.1
"The Conduit",8.1
"Sega Fun Pack: Sonic Rivals 2 / Genesis Collection",8.1
"Samba de Amigo",8.1
"Viking: Battle for Asgard",8.1
"Sonic Rush Adventure",8.1
"Streets of Rage 2",8.1
"Phantasy Star Universe",8.1
"OutRun 2006: Coast 2 Coast",8.1
"Sonic Riders",8.1
"Sonic Rush",8.1
"Virtua Tennis: World Tour",8.1
"ESPN College Hoops 2K5",8.1
"Puyo Pop Fever",8.1
"ESPN NFL 2K5",8.1
"Phantasy Star Online Episode III: C.A.R.D. Revolution",8.1
"NHL 2K2",8.1
"F355 Challenge",8.1
"Ecco the Dolphin: Defender of the Future",8.1
"Sonic R",8.1
"Sonic Frontiers",8.2
"Sonic Frontiers",8.2
"Lost Judgment",8.2
"The Yakuza Remastered Collection",8.2
"Puyo Puyo Tetris 2",8.2
"Phantasy Star Online 2",8.2
"Yakuza 0",8.2
"Two Point Hospital",8.2
"Sega Ages: Fantasy Zone",8.2
"Football Manager 2020 Touch",8.2
"Sega Ages: Space Harrier",8.2
"Sega Genesis Classics",8.2
"Motorsport Manager",8.2
"Valkyria Chronicles Remastered",8.2
"3D Sonic the Hedgehog 2",8.2
"Hatsune Miku: Project Mirai DX",8.2
"Valkyria Chronicles",8.2
"Alien: Isolation",8.2
"Total War: Shogun 2 Gold Edition",8.2
"Sega Vintage Collection: Alex Kidd & Co.",8.2
"Binary Domain",8.2
"Sonic Generations",8.2
"Guardian Heroes",8.2
"Total War: Shogun 2 - Rise of the Samurai",8.2
"Streets of Rage 2",8.2
"Sonic the Hedgehog 2",8.2
"Golden Axe II",8.2
"Sonic the Hedgehog",8.2
"Comix Zone",8.2
Vectorman,8.2
"Infinite Space",8.2
"Sonic & Sega All-Stars Racing",8.2
"Phantasy Star",8.2
"Comix Zone",8.2
"OutRun Online Arcade",8.2
"Nancy Drew: The White Wolf of Icicle Creek",8.2
"Streets of Rage 3",8.2
"Golden Axe",8.2
"Sonic Riders",8.2
"Condemned: Criminal Origins",8.2
"Stuart Little 3: Big Photo Adventure",8.2
"Sonic Gems Collection",8.2
"Blood Will Tell",8.2
"ESPN NHL 2K5",8.2
"NCAA College Basketball 2K3",8.2
Shinobi,8.2
"Super Monkey Ball 2",8.2
"Confidential Mission",8.2
"Zombie Revenge",8.2
"Sega Rally Championship",8.2
"Sonic's Schoolhouse",8.2
"The Yakuza Remastered Collection",8.3
"Yakuza Kiwami 2",8.3
"Yakuza Kiwami 2",8.3
"Football Manager Touch 2019",8.3
"Valkyria Chronicles 4",8.3
"Shenmue I & II",8.3
"Sonic Mania Plus",8.3
"Panzer Dragoon Orta",8.3
"Sonic Mania",8.3
"Dengeki Bunko: Fighting Climax",8.3
"Chain Chronicle - Line Defense RPG",8.3
"Alien: Isolation",8.3
